disaster_no,event_name,disaster_type,disaster_subtype,location,start_year,start_month,end_year,end_month,total_deaths,no_injured,no_affected,total_affected,total_damage_adj_usd_thousands,latitude,longitude
2026-0018-AUS,,Wildfire,Wildfire (General),Victoria (New South Wales),2026,1,2026,1.0,1.0,,780.0,780.0,,,
2026-0162-AUS,,Flood,Flood (General),Gympie Region (Queensland); north of the Northern Territory,2026,3,2026,3.0,2.0,,197.0,197.0,,,
2021-0334-AUS,,Flood,Flash flood,"Victoria, New South Wales, Queensland, and South Australia",2021,6,2021,6.0,2.0,,600.0,600.0,392078.0,,
2019-0028-AUS,,Flood,Riverine flood,"Townsville, Daintree, Giru (Queensland)",2019,1,2019,2.0,3.0,,9900.0,9900.0,2518550.0,,
2022-0046-AUS,,Flood,Flood (General),Eastern Queensland,2022,1,2022,1.0,2.0,,200.0,200.0,88006.0,,
2017-0072-AUS,Sir Ivan fire,Wildfire,Wildfire (General),"New South Wales states (Dunedoo, Uarbry, Pappinbarra, Dondingalong, Kempsey, Boggabri, Narrabri, Mudgee)",2017,2,2017,2.0,,2.0,27.0,143.0,26268.0,,
2022-0679-AUS,,Flood,Flood (General),"Victoria, New South Wales and Tasmania",2022,10,2022,10.0,2.0,,102000.0,102000.0,1430101.0,,
2023-0138-AUS,,Flood,Flood (General),"Burketown, Riversleigh, Gregory Downs, Doomadgee, and Normanton Towns (northern Queensland)",2023,3,2023,3.0,,,170.0,170.0,,,
2015-0514-AUS,,Wildfire,"Land fire (Brush, Bush, Pasture)","Pinery, Balaklava cities (Wakefield (DC) district, North Mount Lofty Ranges, South Australia province), Roseworthy city (Light (RegC) district, South Australia province)",2015,11,2015,11.0,2.0,30.0,126.0,261.0,271662.0,,
2023-0856-AUS,,Storm,Storm (General),"New South Wales, Queensland, Victoria provinces (Queensland)",2023,12,2023,12.0,10.0,,2100.0,2100.0,,,
2015-0148-AUS,,Storm,Severe weather,"Dungog, Hunters Hill, Sydney districts (New South Wales province)",2015,4,2015,4.0,7.0,,1000.0,1000.0,1765805.0,,
2015-0010-AUS,,Wildfire,"Land fire (Brush, Bush, Pasture)","Sampson Flat city (Playford (C) district, South Australia province), Kersbrook (Adelaide Hills (DC) district, Mount Lofty Ranges, South Australia province)",2015,1,2015,1.0,,134.0,,134.0,69274.0,,
2025-0075-AUS,,Flood,Flood (General),"Townsville, Cardwell and Ingham (Queensland state)",2024,2,2025,2.0,2.0,,6000.0,6000.0,318157.0,,
2013-0402-AUS,,Wildfire,"Land fire (Brush, Bush, Pasture)",Blue Mountains (C) district (New South Wales province),2013,10,2013,10.0,2.0,,990.0,990.0,370372.0,,
2013-0024-AUS,,Wildfire,"Land fire (Brush, Bush, Pasture)","Dunnaley, Boomer Bay cities (Sorell (M) district, Tasmania province), Sommers Bay (Tasman district, Tasmania province), Bicheno city (Glamorgan/Spring Bay (M) district, Tasmania province); New South Wales, Victoria",2013,1,2013,1.0,1.0,,450.0,450.0,135434.0,,
2025-1019-AUS,,Wildfire,Wildfire (General),Glenlusk and Levendale (Tasmania); Markwood (Victoria); Koolewong and Bulahdelah (New South Wales),2025,12,2025,12.0,1.0,,42.0,159.0,,,
2020-0053-AUS,,Flood,Flood (General),New South Wales,2020,2,2020,2.0,1.0,,,,1492716.0,,
2020-0019-AUS,,Storm,Lightning/Thunderstorms,"New South Wales , Victoria States",2020,1,2020,1.0,,,,,1865895.0,,
2025-0383-AUS,,Storm,Severe weather,Hunter and Mid North Coast regions (New South Wales state),2025,5,2025,5.0,5.0,,50000.0,50000.0,270000.0,,
2024-0746-AUS,,Storm,Severe weather,Victoria and Tasmania states,2024,8,2024,9.0,1.0,2.0,4400.0,4402.0,,,
2002-9611-AUS,,Drought,Drought,"Queensland, New South Wales provinces",2002,4,2002,11.0,,,,,3579630.0,,
2003-0109-AUS,,Flood,Flash flood,"Clarence Valley, Coffs Harbour, Kempsey, Gwydir, Tamworth Regional, Narrabri, Uralla, Moree Plains districts (New South Wales province)",2003,2,2003,2.0,,,100.0,100.0,,,
2004-0091-AUS,,Flood,Riverine flood,"Mount Isa, Longreach, Rockhampton, Townsville, Barcoo, Diamantina, Paroo districts (Queensland province), Tamworth Regional, Moree Plains districts (New South Wales province)",2004,1,2004,2.0,,,3400.0,3400.0,54543.0,,
2005-0697-AUS,,Storm,Storm (General),"Australian Capital Territory, Queensland, New South Wales, Victoria provinces",2005,12,2005,12.0,1.0,,600.0,600.0,24728.0,,
2006-0660-AUS,,Wildfire,Wildfire (General),"Blue mountains district, New South Wales province",2006,11,2006,11.0,,,,,,,
2006-0666-AUS,,Wildfire,Forest fire,"Tasmania, Victoria, New South Wales provinces",2006,12,2006,12.0,1.0,,,60.0,79850.0,,
2007-0591-AUS,George and Jacob,Storm,Tropical cyclone,"Darwin district (Northern Territory province), Ashburton, East Pilbara, Port Hedland, Roebourne districts (Western Australia province)",2007,3,2007,3.0,2.0,,730.0,820.0,155271.0,-13.67,131.92
