id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
268,Australia,AUS,900,1968,1266,Perth,2,Western Australia,Perth,NA,Perth,0,NA,earthquake,1968-0077,-31.95564407,115.8554552
290,Australia,AUS,900,1994,965,Albany,2,Western Australia,Albany,NA,Albany,0,NA,storm,1994-0127,-34.74150717,118.1809278
290,Australia,AUS,900,1994,1089,Geraldton,2,Western Australia,Geraldton,NA,Geraldton,0,NA,storm,1994-0127,-28.6998535,114.3278341
290,Australia,AUS,900,1994,1125,Katanning,2,Western Australia,Katanning,NA,Katanning,0,NA,storm,1994-0127,-33.64900784,117.6830451
290,Australia,AUS,900,1994,1201,Narrogin (Shire),2,Western Australia,Narrogin (Shire),NA,Narrogin,0,NA,storm,1994-0127,-32.99623466,117.2602922
308,Australia,AUS,900,2000,1035,Cairns,2,Queensland,Cairns,NA,Cairns,0,NA,storm,2000-0097,-16.91620789,145.7682661
308,Australia,AUS,900,2000,1159,Mareeba,2,Queensland,Mareeba,NA,Marreba,0,NA,storm,2000-0097,-16.98475743,143.9546139
310,Australia,AUS,900,2000,997,Berrigan,2,New South Wales,Berrigan,NA,Berrigan,0,NA,flood,2000-0750,-35.73563448,145.7099005
310,Australia,AUS,900,2000,1052,Corowa,2,New South Wales,Corowa,NA,Corowa,0,NA,flood,2000-0750,-35.82723003,146.2645363
310,Australia,AUS,900,2000,1063,Deniliquin,2,New South Wales,Deniliquin,NA,Deniliquin,0,NA,flood,2000-0750,-35.53375988,144.9724453
310,Australia,AUS,900,2000,1106,Gwydir,2,New South Wales,Gwydir,NA,Bingara,0,NA,flood,2000-0750,-29.60595945,150.5120822
310,Australia,AUS,900,2000,1184,Murray,2,New South Wales,Murray,NA,Murray,0,NA,flood,2000-0750,-35.73274565,144.7429565
310,Australia,AUS,900,2000,1378,Warrumbungle,2,New South Wales,Warrumbungle,NA,Coonebarabran,0,NA,flood,2000-0750,-31.46260325,149.4062674
313,Australia,AUS,900,2001,1137,Ku-Ring-Gai,2,New South Wales,Ku-Ring-Gai,NA,Kuringai,0,NA,storm,2001-0045,-33.73685552,151.1504889
313,Australia,AUS,900,2001,1139,Kyogle,2,New South Wales,Kyogle,NA,Kyogle,0,NA,storm,2001-0045,-28.61937447,152.7748359
313,Australia,AUS,900,2001,1379,Waverley,2,New South Wales,Waverley,NA,Bondi,0,NA,storm,2001-0045,-33.8905483,151.2671628
315,Australia,AUS,900,2001,1057,Katherine,2,Northern Territory,Katherine,NA,Daguragu,0,NA,flood,2001-0103,-17.4220729,130.8040844
316,Australia,AUS,900,2001,973,Ballina,2,New South Wales,Ballina,NA,Ballina,0,NA,flood,2001-0130,-28.85255366,153.4882203
316,Australia,AUS,900,2001,1027,Byron,2,New South Wales,Byron,NA,Mullumbimby,0,NA,flood,2001-0130,-28.60398807,153.4847717
316,Australia,AUS,900,2001,1128,Kempsey,2,New South Wales,Kempsey,NA,Kempsey,0,NA,flood,2001-0130,-30.95237783,152.6447299
316,Australia,AUS,900,2001,1140,Kyogle,2,New South Wales,Kyogle,NA,Kyogle,0,NA,flood,2001-0130,-28.61937447,152.7748359
318,Australia,AUS,900,2002,1080,Fairfield,2,New South Wales,Fairfield,NA,Fairfield,0,NA,storm,2002-0157,-27.50671185,153.0231587
318,Australia,AUS,900,2002,1114,Holroyd,2,New South Wales,Holroyd,NA,Holroyd,0,NA,storm,2002-0157,-33.82752189,150.9568861
320,Australia,AUS,900,2002,1097,Greater Taree,2,New South Wales,Greater Taree,NA,Taree,0,NA,storm,2002-0798,-31.7931208,152.2818601
320,Australia,AUS,900,2002,1269,Port Stephens,2,New South Wales,Port Stephens,NA,Port Stephens,0,NA,storm,2002-0798,-32.72421691,151.8420307
322,Australia,AUS,900,2003,982,Banana,2,Queensland,Banana,NA,Wowan,0,NA,flood,2003-0079,-24.51804332,150.2442679
322,Australia,AUS,900,2003,1320,Rockhampton,2,Queensland,Rockhampton,NA,Gracemere,0,NA,flood,2003-0079,-23.35095644,150.5251617
323,Australia,AUS,900,2003,1107,Gwydir,2,New South Wales,Gwydir,NA,Bingara,0,NA,flood,2003-0109,-29.60595945,150.5120822
323,Australia,AUS,900,2003,1129,Kempsey,2,New South Wales,Kempsey,NA,Kempsey,0,NA,flood,2003-0109,-30.95237783,152.6447299
323,Australia,AUS,900,2003,1173,Moree Plains,2,New South Wales,Moree Plains,NA,Moree Plains,0,NA,flood,2003-0109,-29.25360575,149.6278206
323,Australia,AUS,900,2003,1194,Narrabri,2,New South Wales,Narrabri,NA,Narrabri,0,NA,flood,2003-0109,-30.35602055,149.5645647
323,Australia,AUS,900,2003,1346,Uralla,2,New South Wales,Uralla,NA,Uralla,0,NA,flood,2003-0109,-30.50674529,151.3115911
330,Australia,AUS,900,2004,986,Barcoo,2,Queensland,Barcoo,NA,Jundah,0,NA,flood,2004-0091,-25.13301337,142.2668015
330,Australia,AUS,900,2004,1066,Diamantina,2,Queensland,Diamantina,NA,Birdsville,0,NA,flood,2004-0091,-24.63148113,139.7308791
330,Australia,AUS,900,2004,1083,Flinders,2,Queensland,Flinders,NA,Flinders,0,NA,flood,2004-0091,-20.97778701,144.3282942
330,Australia,AUS,900,2004,1152,Longreach,2,Queensland,Longreach,NA,Longreach,0,NA,flood,2004-0091,-23.34831419,143.7022756
330,Australia,AUS,900,2004,1174,Moree Plains,2,New South Wales,Moree Plains,NA,Moree Plains,0,NA,flood,2004-0091,-29.25360575,149.6278206
330,Australia,AUS,900,2004,1180,Mount Isa,2,Queensland,Mount Isa,NA,Mount Isa,0,NA,flood,2004-0091,-19.96621384,138.7823077
330,Australia,AUS,900,2004,1263,Paroo,2,Queensland,Paroo,NA,Eulo,0,NA,flood,2004-0091,-28.07359067,145.7709629
330,Australia,AUS,900,2004,1321,Rockhampton,2,Queensland,Rockhampton,NA,Rockhampton,0,NA,flood,2004-0091,-23.35095644,150.5251617
335,Australia,AUS,900,2004,1028,Byron,2,New South Wales,Byron,NA,Mullumbimby,0,NA,flood,2004-0662,-28.60398807,153.4847717
335,Australia,AUS,900,2004,1175,Moree Plains,2,New South Wales,Moree Plains,NA,Moree,0,NA,flood,2004-0662,-29.25360575,149.6278206
335,Australia,AUS,900,2004,1195,Narrabri,2,New South Wales,Narrabri,NA,Wee Waa,0,NA,flood,2004-0662,-30.35602055,149.5645647
335,Australia,AUS,900,2004,1257,Orange,2,New South Wales,Orange,NA,Orange,0,NA,flood,2004-0662,-33.32565598,149.1195168
335,Australia,AUS,900,2004,1376,Warringah,2,New South Wales,Warringah,NA,Northern New South Wales,0,NA,flood,2004-0662,-33.7106787,151.2313438
336,Australia,AUS,900,2005,1101,Griffith,2,New South Wales,Griffith,NA,Griffith,0,NA,storm,2005-0068,-35.32713272,149.1366044
336,Australia,AUS,900,2005,1196,Narrabri,2,New South Wales,Narrabri,NA,Narrabri,0,NA,storm,2005-0068,-30.35602055,149.5645647
337,Australia,AUS,900,2005,974,Ballina,2,New South Wales,Ballina,NA,Ballina,0,NA,flood,2005-0523,-28.85255366,153.4882203
337,Australia,AUS,900,2005,1029,Byron,2,New South Wales,Byron,NA,Byron Bay,0,NA,flood,2005-0523,-28.60398807,153.4847717
337,Australia,AUS,900,2005,1141,Kyogle,2,New South Wales,Kyogle,NA,Kyogle  New South Wales,0,NA,flood,2005-0523,-28.61937447,152.7748359
341,Australia,AUS,900,2006,1073,East Pilbara,2,Western Australia,East Pilbara,NA,Pilbara coast,0,NA,storm,2006-0155,-21.75983249,123.4944501
341,Australia,AUS,900,2006,1079,Exmouth,2,Western Australia,Exmouth,NA,Exmouth,0,NA,storm,2006-0155,-22.50639411,114.1987766
344,Australia,AUS,900,2007,1042,Cessnock,2,New South Wales,Cessnock,NA,Cessnock,0,NA,flood,2007-0160,-32.92480474,151.2247887
344,Australia,AUS,900,2007,1069,Dungog,2,New South Wales,Dungog,NA,Dungog,0,NA,flood,2007-0160,-32.34888305,151.6074315
344,Australia,AUS,900,2007,1155,Maitland,2,New South Wales,Maitland,NA,Maitland,0,NA,flood,2007-0160,-32.71002063,151.5484004
344,Australia,AUS,900,2007,1270,Port Stephens,2,New South Wales,Port Stephens,NA,Port Stephens,0,NA,flood,2007-0160,-32.72421691,151.8420307
345,Australia,AUS,900,2008,975,Ballina,2,New South Wales,Ballina,NA,Ballina,0,NA,flood,2008-0014,-28.85255366,153.4882203
345,Australia,AUS,900,2008,991,Bellingen,2,New South Wales,Bellingen,NA,Bellingen,0,NA,flood,2008-0014,-30.40336806,152.7286564
345,Australia,AUS,900,2008,1130,Kempsey,2,New South Wales,Kempsey,NA,Yarrahappini,0,NA,flood,2008-0014,-30.95237783,152.6447299
345,Australia,AUS,900,2008,1142,Kyogle,2,New South Wales,Kyogle,NA,Kyogle,0,NA,flood,2008-0014,-28.61937447,152.7748359
345,Australia,AUS,900,2008,1339,Tenterfield,2,New South Wales,Tenterfield,NA,Tenterfield,0,NA,flood,2008-0014,-28.944678,152.0862682
346,Australia,AUS,900,2008,987,Barcoo,2,Queensland,Barcoo,NA,Barcoo Shire,0,NA,flood,2008-0017,-25.13301337,142.2668015
346,Australia,AUS,900,2008,996,Isaac,2,Queensland,Isaac,NA,Belyando,0,NA,flood,2008-0017,-22.29453534,147.1202884
346,Australia,AUS,900,2008,998,Blackall Tambo,2,Queensland,Blackall Tambo,NA,Blackall,0,NA,flood,2008-0017,-24.5867769,145.4026994
346,Australia,AUS,900,2008,1016,Bulloo,2,Queensland,Bulloo,NA,Thargomindah,0,NA,flood,2008-0017,-28.0215498,142.593456
346,Australia,AUS,900,2008,1044,Charters Towers,2,Queensland,Charters Towers,NA,Charters Towers,0,NA,flood,2008-0017,-20.0669695,146.2666978
346,Australia,AUS,900,2008,1074,Central Highlands,2,Queensland,Central Highlands,NA,Emerald,0,NA,flood,2008-0017,-23.79846468,147.7817685
346,Australia,AUS,900,2008,1076,Etheridge,2,Queensland,Etheridge,NA,Etheridge,0,NA,flood,2008-0017,-18.5056745,143.6610231
346,Australia,AUS,900,2008,1153,Longreach,2,Queensland,Longreach,NA,Longreach,0,NA,flood,2008-0017,-23.34831419,143.7022756
346,Australia,AUS,900,2008,1185,Murweh,2,Queensland,Murweh,NA,Charleville,0,NA,flood,2008-0017,-26.18969525,146.4890925
346,Australia,AUS,900,2008,1264,Paroo,2,Queensland,Paroo,NA,Cunnamulla,0,NA,flood,2008-0017,-28.07359067,145.7709629
346,Australia,AUS,900,2008,1314,Quilpie,2,Queensland,Quilpie,NA,Quilpie,0,NA,flood,2008-0017,-26.34684619,143.8962026
